ReviewTitle,ReviewBody,Sentiment
"I Like it.
","First impressions with one day usage.Pros :--1. Extra Bass.2. Battery (got around 8 hours from out of the box without charging even once)3. Good connection.4. Comfortable.Cons :--1. Build quality.2. Wires are little bit long.Go for it if you are looking at Bluetooth Earphones under 1.5k. I got it for 1,299/- rupees.
",Positive
"Stopped working after 3 months
","This product stopped working. But when I put it on charging it is working fine, seems issue with the battery . I purchased it by seeing the review but now i regret buying it. I have sony earphones which is working perfectly even after 2.5 years. I will Never use boat again
",Positive
"Great product, great service, worth buying
","Quality is very good in this price range. Bass is superb. I mostly use it for workouts. It does the job well. I face problem about noise cancellation as the other person on phone always complaints about unnecessary sounds from the sorroundings when I take a call outdoor. Service delivery from boat is amazing and satisfactory. They replaced my headphones after 3 months as one of the buds started sounding low.
",Positive
"Boat rockers 255
","Sound is very good.....but i think their is a design issue which make it not fit in ear properly.... that's why one can't experience the bass properly if not tightly pushed in. Battery life is suprb upto 6 hours and charging time 1.5 hrs. But due to metal finishing in winter it becomes very cold and hurts the ears. The summer u can think....Its a nice purchase for listening music but some  designing faults i can see that's it.
",Negative
"Need replacment
","I got the in month of june.... Suddenly right side had stopped working.... Can u help me for replacement.... As itz showing 1 year replacment warrenty
",Neutral
"Eco problem during call
","This is my replacement order and facing same issue. Other person can't here my voice properly during the call via Bluetooth. They can only here background disturbance even i sit in room. Eco problem! Deciding to return and order some other brand. This is only good for music.
",Neutral
"Go for it without a doubt!
","Awesome product at this price..the sound quality is very nice, noise cancellation is very effective which makes it very useful for those who use it while travelling. The ear support curve is very comfortable, you can use it for hours without having any pain in the nearby area. Overall good product, stand very high amonst his peers.
",Positive
"Boat 255 one side is not functioning.
","With in few months one side of head set is not working.  I am not able to find service centre in chennai and in online centre green and black model is also not displayed for selection.
",Neutral
"Should buy at this price range, good bass, battery, & average Bluetooth range
","Received the package on time.The headphones package is basic.No case which is little disappointing.1.Sound quality is awesome,bass is really nice, sounds is loud.2. Call quality is also nice.3. Bluetooth range is not so good.4. Battery life is awesome. It last for atleast 6hours of music.5. Durability is also nice, as it is also water resistant so a big plus point.A must buy budget headphones at this price range.So a big 5*
",Positive
"One side stopped working,Mic issue and Bluetooth range problem
","It's sound n noise cancellation is good , Battery Backup is good too. But after using for 1-2 month it one side shut down suddenly n also the caller in front can't hear your voice it's mic is below average. Also I faced Bluetooth range problem when I connect it to my phone and keep my phone in my pocket it just disconnect....I have place a replacement. So let's see
",Neutral
"Good for the money
","Hi guys....the product is good. Gives a battery backup of around 5 to 6hrs and takes nearly 1hr to 1hr 30mins. You can use it while working out in the gym. The sweat doesnt affect the device.There are some issues with the product. You can hear some disturbance many times. Bluetooth connectivity range is around 5metres only.Overall a nice product at this price range. You can go for it if you are in a tight budget and also want a branded product.
",Positive
"Sound Quality while you are on call
","Whenever i call somebody then the ring sounds very poor. It feels like watef is there inside the soeaker of headphone/earphone. It creates too much irritation. Along with this i couldn't experience any noice cancellation/reduction feature in this because during call (the people with whom i was talking), they were saying some disturbance from your side and the same I was feeling. So overall for listening music its good but for calling purpose its not a nice product to buy.Thanks
",Negative
"Go for it if you want a basic wireless ear phone.
","Basic wireless headset with mic. Sound quality is average. Had expected good bass as its from boat.. but was disappointed with the bass as well as the sound quality which sounded artificial. Batter backup is good and also the make quality is good.  A 3 star product.
",Positive
"Not at all satisfied with service and product
","Product function buttons are not working..service of Amazon is also not reached my expectation. Returned the product stating the issue again got the product after 3 days with same defect... They got benefited by getting the feedback from my side.. and me roaming here and there for collecting the product, returning the product and eagerly waiting for unworthy piece...if they are not allowed till the place mentioned in the address...they should tell beforehand...
",Negative
"Value for money. Best in its price segment!
","I bought this in amazon sell with sbi card in 900 rs. First, the bass of sound is very good.noise cancellation is good.  All other features like buildup quality, ear fitting, etc are above average. Not bed but don't compare with costly one. Finally one line- good one batter then all other brands up-to 2000-3000. Value for money if you buy up-to 1000-1100.
",Positive
"Sound quality not remarkable but build quality excellent
","Not great sound quality. The bass is over amplified. But its a comfy fit and does an excellent job in cancelling out external noise. Some of the JBL headphones in the same range will provide you with better clarity of sound, wherein the mids are well highlighted along with the bass. But if you like fo listen to music with heavy bass, then these are definitely a better pick. Boat makes quality products for the given price.
",Positive
"Just okay
","Cons:1. No vibration on call.2. 6-7 hrs battery drain in not use but connected state.3. Wires are longer than it looks, so they are hanging around while in use.4. Inear support is useless.Pros:1. Bought for 999 which just okay.2. Sound is okay.Would suggest Samsung Level U for 2000.
",Neutral
"Not suitable for iphones.
","This product is not good and compatible with iphones. Sound quality is very low, on call sound is worst and phone battery is draining like anything. Twice ordered (using return option) but both the sets were same issue. I do not recommend this product for iphone. For other phone may test and try.
",Negative
"Left earpiece stops working
","I am facing problems with mine one...i dont know why bt the left earpeice stops working automatically sometimes...i jst ordered for replacement...bt now m afraid...d if d replacemt product works d same way....den my 1500 rupees will be a loss...if any of you face the same...please let me know
",Negative
"Not good for gaming
","Excellent headphone for calls and music. But if you are gamer, you will face issue of sound. As it is bluetooth device, you will get sound delay by .5 sec. Like when i play pubg using this headphone, I get sound delay. So sometimes its difficult to spot any enemy in close range. No issue with headphone, it is because of bluetooth connectivity. And you gonna face this issue in every bluetooth headset. So go for wired if gaming your priority.
",Negative
"Bed
","Very bed
",Neutral
"Sound quality same as Boat 225 Wired earphones which is amazing
","Amazing bass at that price range. Play with equalizer and you can milk the most out of this earphones. However, one small drawback with this earphones is that when the earbuds is inserted firmly, it tends to kind of air lock the ear which is necessary for Noise cancellation but not so good for your ears.
",Neutral
"Good but not happy
","The sound quality is good, stays firmly on the ear and battery life is decent. But, the turning on and off and battery low notification with voice is very annoying. The battery notification that appears on the phone jumps in large increments and is unreliable. Also this is unusable while running or riding as the audio gets distorted a bit under shaky situations which is I guess is the biggest flaw.
",Negative
"Great Quality in the given budget
","IF you are bass and Treble lover, these wireless earphones are for you. I bought this for Rs 1499/-. I m using it with an Iphone and i enjoyed the output.Positive part: Great Design, Good output for given budget, Noise cancellation  is good too.Negative Part: I experienced Bluetooth connection disturbances wile exercising, U need to use equalizer settings if u do not love Bass and treble.Overall it is a good product....
",Positive
"Decent build quality and sound
","The product has decent build quality which makes it durable. However the cable is too long which makes it look a little weird hanging around your ears. Battery drains quickly. Sound is amazing, perhaps the USP of the product. Not good for bike riders as wearing a helmet gives pain in the ears.
",Neutral
"Good not Great
","You can take this as a bluetooth version of boat wired 220/225 headsets.Sound and bass is great but not clear in few situations.Noise cancellation was worst to the core voices of people 10m away from you is clearly captured and irritates you to the core, don't know whether it is a product issue which i received.I missed to notice with in the return duration otherwise would of replaced it.Now i need to reach support team for replacement.
",Negative
"Didn't like bass and battery life of this earphones
","Price is best.Worst battery life.Four years back, I purchased Nokia wireless earphone, which had option save battery when not working, but Boat don't have that yet in this earphones.If you are using apple earphones, then you'll not like bass of this Boat earphones.
",Neutral
"Wrong choice
","Waste of money, people who all reviewed it as great seems they rated it for no good reason1. Sound quality is extremely poor and it feels like a local headphone which is sold in the market. NOT upto the mark.2. Battery drains in no time, charging hours compared to listening hours will be less.
",Neutral
"Great experience.
","It fullfills all requirement of music lover, action movie lovers, those who talk for long and those who listens audio books.Bass is high, it depends on choice. But it doesnt kill trebel, mid and high tones so listening is wonderful experience.Connectivity is very fast and battery backyup is 6hrs+ in playtime.Rest all is good.
",Positive
"It was amazing product. Base was nice
","It was amazing product. Base was nice. It last for more than 6 hours.I didn't get any USB charging cable with the package.
",Positive
"Really suprised me
","I didnt expect this much from boat.I got this for 1499Sound quality is good and the Bass is deep( great)Fits so perfectlyButtons are very reliableBattety is good (  only used for 2 days)Its very worthy on this budget...Honest review
",Positive
"Great quality sound and finish. Except the ear plug length off the neck brace is too long
","Damn good value for money and sound quality is excellent.  Noice cancellation quality is great. Only thing is the ear plug wire length is bit too long for my liking. Wish they could have shortened the length of the ear plug wire of the neck brace.
",Positive
"An outstanding pair of wireless earphones - at a cheap price.
","This product's sound quality is impressive. The tagline speaks for itself - immersive stereo sound is truly what one gets. It charges quickly, and lasts for a long time (5 - 6 hours of use). I also own an Audio Technica M50x, but now it rarely sees use due to these quite marvellous earphones. Note that these headphones costed north of ₹9,000, while these earphones were a fraction of that price. Good job, boAt.
",Positive
"It's a decent product at that price tag
","It's my first day of use and the product is overall good as expected but just one dissapointing thing is the Bluetooth connectivity it cuts off in between which is not pleasing when your listening to songs otherwise the sound clarity and bass is no doubt quality and up to the mark just the connectivity factor is something which bothers me let's hope it gets better in days...
",Positive
"Not That much Good
","Yaa,product quality is not that much Good,it was showing the Bluetooth range is approximately 10metre but in my case it is working well within a range of 3/4 metre,if I go beyond this range the music/Calling quality is very bad.I don't know why the company like Boat having this much poor music Quality,But is doesn't satisfy value for money.Thank you..😟😟😟😟
",Negative
"Quality compromised for making it budget friendly
","After many research I bought this earphone thinking that it is best Bluetooth earphone at best price. Initially it worked as expected but after two months of normal use, it's earbuds and hooks went off. Then suddenly its left side earpiece stopped working. I used  this one with care as mentioned in manual and used for only two hours a day every day and two. Very very disappointed. I guess they compromised the quality to compete with competitors price.
",Neutral
"This one really rocks
","One of the best in-ear phone that I have ever used it so far.. This one rely rocks..Amazing sound quality and one of the lightest ear phone suits very well for most of the sports activities...
",Positive
"Too much bass, but rest is fine.
","I'm not too much of an audiophile but I do look for proper instrument separation, clear vocals and a good bass.The bass is really overpowering. If you're into that, then great but I honestly hate it for that.However, battery life is great! And seems pretty durable. Fitting is good, with 3 bud size options. Pairs easily.
",Positive
"After 1 weeks use
","Just good, always facing problem while connecting to other devices like laptop or other phones of Bluetooth version 4.2Too long wire, not much comfortable.Battery percentage of earphone also showing wrong in phone. It shuts without notification of low battery in phone.Notification language for power on, power off or battery low is also not clear in earphone. DISAPPOINTING
",Negative
"Pretty cool product with only one drawback.
","Pretty good product. Clear sound.Only complain I have is every time you turn it on it announces ""hello, power on. you are now connected to boat rockers"". Consider this announcement when you are halfway through in an important call and are connecting to Bluetooth now. Not that other parties hear the announcement but you don't hear anything from call while the announcement is on.
",Neutral
"Very Poor Noise Cancellation
","Pros:Easy to useGood quality material usedConsNoise Cancellation is very poor. The person on the other side of the call will hear person speaking next to you in a public place, rather than you. I'm extremely upset with this and hence would like to return it.Ps: Doesnt make sense to save few bucks and buy a sub standard product, instead opt for some other brand
",Neutral
"Loving it.. Worth for money
","I'm really love it... Bass lovers pls go for it.. Now I'm really a fan of boat headphones... Lite weight.. Battery life is good it's giving continues play back of 6-7 hrs.. Perfect fit... If u guys looking for a Bluetooth headphones under 1500 just go for it... Really worth it..
",Positive
"Good earphones at this range!!
","Sound is good, Noise cancellation is good, some very rare time the other side of person is unable to hear my voice which may b due to my mobile network not sure. One thing designwise i wanna mention here which i little feel uncomfortable is the size of the earpiece which bulges out so much tat when wearing Helmet it gves a lot of pressure inside the ears from the helmet and it becomes air tight 😐 If Boat can make it little sleak or small in size!!
",Neutral
"Good value for money product
","Nice product at a price of 999. Sound quality and noise cancellation is good. Only problem I have noticed is that whenever it goes out of my Mobile's range, even for 2 seconds, it doesn't get connected automatically and I have to connect it manually again. Rest all looks ok.I am using it for 3 days now and battery life, call quality etc is satisfactory.Can't comment on durability at this stage.
",Neutral
"only good for some.....!!
","I have just bought it and hardly used it 3 times...Now these has started to give a ""hissing"" sound after connecting it to my device...And main thing is it is not connecting itself to my PC I have tried a lot..but these are not good..Such a bad thing by amazon India ...I have never expected this thing from amazon...Please don't buy these stufs from amazon....So bad...😔😭
",Neutral
"Best Bass earphones.
","Best headphone for this price range mids, bass and treble are at good tuning. Bass is a bit Punching which is nice for bass heads. There is no big lag in time but found a little lag in gaming audio. Neckband is extremely light weight can't feel it like wearing and flexible too.
",Neutral
"Absolute Perfect Product
","Completely perfect product. Sound quality is really awesome. I'm real sound quality seeking guy. The product meet my requirements. Super bass and clear sound as well. It really plays all kind of frequencies. Noises cancelled by 97%. It's genuinely toched me. Thank you BoAt. Thank you Amazon.
",Positive
"Buy a light weight headphone
","Please read it before you buying1. Sound quality is good but not loud enough2. Battery is good3. Bluetooth connectivity is good4. Wire is too longBut the main part, it is a headphone and you should put it on your ear, but believe me after using 10 min you feel pain in ear, frequently it fall from ear, it is not light weight so it irritating your ear and head. So please buy a light weight headphone to do the main job.
",Negative
"Good buy at this price range.
","I got it yesterday,used it for mrng walk,quality is good,very comfortable to wear,call quality is good but not great,Base and vocals are clean and neat,noise cancellation is good enough,but what i found was there is lot of disturbance and noise while playing music online,sometimes i felt like it is getting disconnected for a fractiin of second, then playing again,thats d only thing i found in cons, but overall a very good buy in the price range.
",Positive
"Product review
","I bought this product three months ago, and until now I'm satisfied with the performance. It's battery life is amazing, one single full charge can last upto days if your use is average hours per day.Sound quality is good bass is little on the low side. It has water and sweat resistance, makes it very easy for me during exercise, without the fear of damage to my product.It comes at an optimal range, buying it is win-win.
",Positive
"Nice product with great sound quality
","I have purchased this product 2 months ago now after using i can say this nice product in this range...sound quality is good, just need to improve battery life bit more,once you charge you will get 2-3 hrs maximum backup.You can add only one device at a time although there are other Bluetooth headphones comes with dual connection.There is no magnet or any kind of knot so you have to be very careful every time when you are not using
",Positive
"There is no pouch and extra set of buds l
","I liked the product..... But carrying pouch is mentioned on the box but not in the box...... Also I didn't receive extra set of ear buds.. there is also bluetooth connection problem .... Sometimes it disconnects
",Neutral
"Good for the price!
","For the price these are good, the sound quality is decent, not awesome noise cancellation, but at this price this is one of the best in Bluetooth. The battery life even after using it for 3 months is very good, i keep them on the whole day and recharge them at night.
",Positive
"Don't buy this product. Worst earphone I had used.
","Bought on 8th September 2018With in 4 month both ear buds are not working. I made a request for replacement after the 1 month I got the replacement for my earphone .I got new earphone from boat .After 2 month I could not be able to charge my earphone ...both ear buds have problem I could not be able to hear sound clearly .Don't buy it .I have worst experience with boat.
",Negative
"Quite good. Considerable for this price range.
","Sound quality is not bad, but not as expected (compared to wired boat earphones).The battery life is considerably good, its as mentioned (6hrs+)I found little lag in sound of around half a second(~300 to 400ms), while watching a movie which made me to give 3 stars.The product physical quality is appreciable, good quality of thick wiring is used.
",Positive
"Don't waste ur money
","Don't buy these type of products seriously. Recently I bought this boat rockerz bluetooth headphones it had worked very nice for 1 week only afterwards a lot of disturbance while talking in a phone for that i need to replace it. Again I got these disturbance problem so i decided better to return the product and don't waste of my time and my money.  That's y I suggest to you my dear friends don't waste ur money don't buy these products
",Positive
"Not bad but need to improve
","This boat rockrez 255 wireless Bluetooth headset bought from Amazon but it doesn't work with two device at a time when connecting a laptop it rejecte mobile when connecting mobile it doesn't support laptop this is very bad and aslo when a incoming call receive ringtone sound coming out from the phone not from boat rockrez it's taking to much irrigation when hearing from the boat rockrez ear paining few minutes other wise not bad at all
",Negative
"Value for money
","Item is as it is like in picture. The base is high. It is not fitting in years comfortable. It coming out. Sound quality is ok but not too good. It is not pausing on contact of both ends of ear phones.
",Neutral
"Value for money
","Hey Guys,I bought boAt Rockerz 255 Sports Bluetooth Wireless Earphone & I am completely satisfied with this product. Its really awesome and I am loving this Earphone easy to connect with awesome sound quality. If connected on call it works well and reduce the noise I mean noise cancellation works well. The person I was speaking to cannot identify I was using Earphone. Its value for money.
",Positive
"Average
","It's slightly loose in case of fitting. If you move your neck continuously then it will come out from your ears. Sound quality is too good. As expected from BOAT.  The main issue is after sometimes of connection via bluetooth,  the rockerz 255 disconnects automatically.  Don't why. Except that it's a very decent earphone in case of sound quality.
",Neutral
"Go for it if you need true bluetooth earphones.
","NOT BAD.BEST BLUETOOTH EARPHONES IN THIS PRICE SEGMENT.NOISE CALCELLATION IS EFFECTIVE TO A EXTENTSOUND QUALITY IS GREAT.BATTERY LIFE IS AWSOME.  LAST UPTO 6HRS IN NORMAL DAILY USAGE.WHAT I EXPECT IS A COLLAR CLIP AT THE BACK SO THAT WHEN YOU ARE ON BIKE WEARING A T SHIRT  IT WIIL NOT SLIP OF FROM NECK.BAKI TO SAB THIK HAI.
",Neutral
"worst bluetooth range!
","guys dont buy it.sound quality is good but bluetooth range is bad even it doesn't cross single wall.i have return my headphone as its bluetooth doesn't work after 3-4 mt.When another piece i received its bluetooth is ok but again not up to the mark.DonT buY
",Neutral
"Great Product
","As expected makes life easy with two BT pairings with a single device, Voice clarity is good but Noice cancellation is not as expected. Otherwise Great product for its cost & better then competition
",Positive
"Look for something better
","Sound quality is very bad and signal reception is very low. If I keep my phone in my trousers pocket while wearing headset, it usually doesn't work. I have to keep mobile in hand to listen to a song without frequent hiccups. The performance is worst during calls, i dont understand the problem but i receive weird disturbance while someone is speaking at other end. Its very frustrating to switch back to earpiece mode and listen again
",Negative
"Good headphones with slightly uncomfortable earplugs.
","Good battery life. Bass is kind of overpowering. The earplugs that come with it was too uncomfortable for me. Maybe fir others it would fit better. Overall I would rate it 7/10.
",Positive
"Lack of bass....
","Instant of spending 11k for airpots....i buy this one.....at this price it's look good.....lack of bass....last for 4-5 hr......for me at this price u can't get better than this
",Neutral
"Received with missing attachments and tempered box.
","I have ordered this for 3 times. Only once I have received good one. Other two times I have received with open box and missing attachments. Once I returned also and ordered new one but again I have received with tempered box.
",Neutral
"Good buy
","We're using this product for a month now. It's really good. I was using Samsung level U but the wire snapped. This one is pocket friendly, flexible and worth buying. I went by Amazon choice and for the first month I'm really happy. Hopefully it works like this for a long time.
",Positive
"Good sound, Bad Quality of product
","I have had a very bad experience with these. A month after using these the left ear bud started distorting and the volume control started heating up. I had written a complaint and they were exchanged within 15 days. Yes, they have really good customer service. But even the new device started malfunctioning in a similar manner, really disappointed after seeing that. But I have got to say that Boat has really good customer service.
",Neutral
"Good product
","Product got deliver timely. Sound quality is very good when listen music or from YouTube.Battery backup last up to 4-6hrs depending upon usage. Thanks to boat bluetooth speakers.
",Positive
"Worst !
","Got this free with Huawei Y9 2019, claimimg that they are 3000 INR earphones. The sound quality is worst with Huawei Y9, Zenfone 3, MI devices. Not even worth 3000 INR but works good with lenovo devices.
",Neutral
"Don't buy. Your ears will pain. I  regret it
","Everything else is great but the major issue with this earphone is its very hard for ears and your ears will start paining within 30 mins of usage and i also tried all 3 earbuds which come from company but still the same issue. Also there's no refund policy from Boat only replacement will be given. So don't buy as I'm regretting my decision.
",Negative
"Best Earphone under 1k
","This is the best bluetooth earphone under 1k price segment. Offers good sound quality with perfect bass. Design looks cool and light-weight, overall its a perfect fit.The only problem is with its ear log fit.Go for it :)
",Positive
"Great sound and battery backup and very flexible but Noise cancellation is a must .
","The product is quite sturdy, flexible and has great music quality but unfortunately the absence is noise cancellation makes the caller on the other side to listen to more of the background noise and voices than yours.
",Neutral
"Nice product
","Pros:-1. Sound quality exellent.2. Battery backup good 7 to 8 hours but it's intial days.3. stylish and light to wear on neck.4. I got it at 999 rs onlyCons:- 1. previous and next buttons are missing, which are even available in Chinese scraps 2. Mic not working good, have to speak louder or repeat.
",Negative
"One time investment... And uske baad befikr
","I want to tell everyone I was so confused to take wirless headphones or bloothooth headphones. But now my confusion is totally cleared... One time investment Boat headphone. I want to must say BOAT headphone are very reliable and very clear sound with superb base. This is not only me talking about headphone my brother also having BOAT wire headphones and he is very satisfied... Thank u Amazon... And for one day delivery  thank you so much
",Positive
"Review After 3 weeks usage..
","After using it for 3 weeks I'm giving this review.. i bought it for 1200.. Sound quality is good with more bass.. if u don't want that much bass means u can change the hear bud to a smaller one.. Quality of the product is also good i guess it will be a durable one.. Battery life is ultimate.. If u use it for 3 hrs a day it will last for 1 week.. Since I'm using it for my gym I feel very comfortable with this battery life..
",Positive
"The bass is truely awesome
","These earphones are awesome and there is no trouble with them. Those who are saying that they don't have bass are wrong i have used them and the bass is seriously pretty strong for wireless earphones in such a price range. They are not over priced as well. Moreover while talking over them the person on the other side also didn't face any difficulty hearing me. These earphones are great, I personally highly recommend these.
",Positive
"Above Average
","I have heard better sounding headsets and was honestly a bit disappointed for the quantity of sound. The mids and lows are not up to the mark. It's good for voice only application.
",Positive
"Best product but recieved faulty piece.
","I listened to the songs when I plugged the charging chord, i couldn't believe the awesome quality sound it gave me. I discovered fault after exactly 15 minutes of unboxing it. The battery is faulty. Only works when power chord is connected. Filed for return and replacement exactly 1 hour after reciving it. Giving only 3 stars due to faulty product. When it comes to sound quality nothing can beat this earphone.
",Negative
"Let me tell you very frank...
","Let me tell you very frank bass is quite good not great, connectivity is worst, battery is average, expectations is high for my side as per brand but its response totally fail , disappointed me.last but not the least when i open the parcel seal is open  and box packaging in parcel is damage.
",Negative
"Disappointed,never expectd from boat.
","Overall worst product from boat,poor connectivity,it get interrupted 5-6times in a 7min songs and keep repeating that same irritating voice-you are now connected to boat rokerz 255,Battery backup is goodBass is so soI suggest, choose any other product instead of wasting in it.
",Negative
"Only 3 months of durability!! Be aware dont fall for looks of the earphone!!
","One of the worst product I have ever brought. In 3 months stoped working!. I recommend not to buy this earphone. Everything else like sound quality, noice cancelation are pretty good. But if the durability is less everything else becomes waste.
",Neutral
"Highly Recommended
","This is the 4th product of boat I have bought and this is as good as the previously bought headphones.In this price range these are far better than any other brand.Pros.Battery backup is very good.Bass is excellent.Sweat proof.Very good build quality.Cons.Packaging can be more better.
",Positive
"Value for money
","Good bass and sound at this (1000-1500 Rs) price.Pathetic battery indicator, it will show 100%-80% till 4.5-5 hours and suddenly low battery indicator blinks.Avg battery backupDecent looks
",Neutral
"Just average quality
","This headset is okay. Doesn't have a very good sound quality. Go with Mivi collar if you want better sound quality. But if you have budget of Rs 1500 then these are fine.
",Positive
"Buy this product separately rather than adding to cart with other products.
","I'm giving 4 stars as overall because the product is all good but the packaging wasn't satisfactory. The box was bit damaged fortunately the product wasn't damaged. Sond quality is above average but the better thing in such price is IPx5 sweat resistant. Noise cancellation is good too.So try to order this separately for better packaging service rather than adding to your cart and buying more than one product.
",Positive
"boat rockerz doesn't rock
","I WAS ALREADY USING boat rockerz 255 before buying this item, but its not of that quality, it doesn't say boat rockerz 255 after pairing, sound is to loud like an ordinary earphone, no voice cancellation feature in place, moreover what is hands free mic I did not receive it, I was looking for surround sound as described in your 'MORE DETAILS' it's disappointing to say the list
",Neutral
"Disappointed with the product
","Disappointed with the Experience. The selling point for me was the battery life and the sound system which was expected to be good. But it’s really disappointing. I tried to give these away to another guy for free who returned it to me for freeAnd I can’t even return this product! I can only get replacement! The vendor is really really looking to off-load these products. PEOPLE! PLEASE DO NOT BUY THIS
",Positive
"Product was not there only the empty box .the package also not peoper shield
","I did not get the product  . Only empty box .
",Neutral
"Awesome headphone value for money
","Pros:Bass(9/10)Durability(9/10)Build quality(9/10)Confortable(8/10)Sticking to you ears(10/10)Nise cancellation (9/10)Cons:Battery life could have been better(7/10)Sound clearity (6/10)And some time it breaks the audio.
",Neutral
"Best value for money wireless earphones
","Overall a good headphone at this price point. Using for 2 months now. The built quality is good & battery life is good as well, enough for a day i.e. 7-8 hours. Sound is decent and has good noise reduction. The only problem is when I connect my phone first and then my laptop, the phone incoming call sound doesn't work. Always have to do it the other way, which fixs the issue.
",Positive
"Review Of Boat Rockerz 255
","I have been using since 1 day and build quality was great , I use boat rockerz 225 headphones which has very good bass when compared to this but at this price range it is bestPros:🔋 Battery Life was simply superbbConnectivity is fastSound quality is good and bass is punchyBuild Quality Is good as per price of 999/-Cons :Wire is long
",Positive
"Awesome,Marvellous.....Get it
","Awesome !!!Go for itThe angle of ear tip makes extremely comfortable and with best noise and the secondary holder on top cancels every external noise and makes it perfect for sports.I’ve used it for Gyming,badminton,table tennis and for movies and web series.And Working of Siri is superb and does  every task I have given to Siri through earphone.
",Positive
"Awesome audio quality and suitably priced.
","Sound Quality: Insane bassBattery life: a bit mediocre but given the price and build quality, it's cool.Durability: I've owned boAt products before, I can vouch for it's build quality.Verdict: Packs a helluva punch when it comes down to audio quality and fits into the wallet pretty well. A must recommend from my side. Research the product tech specs on the internet for more information.
",Positive
"Excellent Product
","Absolute Rock Star! No problem in paring with any phones, tried with iphone,samsung and pixel2. Work flawlessly. Great sound and bass effect. Great noise cancellation. Overall a 5 star product.
",Positive
"Average deal
","Overall its a good deal in the price given. I think the noise cancellation could have been better.Also if you use continuously battery doesn't last more than 4 hours. At times it becomes irritating as despite having headphones you wait until you go back and charge it. Did not help in long travelling hours. Keep a wired headphones with you if don't want to be bored when the battery goes off.
",Negative
"Good product
","I am using this for last two months. Over all performance is very good. I am using only call purpose. Battary life is about to one day.Call is very clear & loud.
",Positive
"Could have been better
","I bought this for my friend. When he called me using the headset, his sound was not clear. Later I asked him about it. He told me that the sound quality of the earphones is good but the mic is not good.
",Neutral
"Good Product
","Product is fine with 4-6 hr talktime. What I dislike about this product is the length of cord which is quite long and sometimes irritate.Otherwise as a Bluetooth headphone... Good product
",Neutral
"Worst product
","Worst product & waste of money, unlucky that I checked the product after completion of return date and now have to bare the loss of  Rs.1700/-, as can hear the sound from one side head set only, did not expected this from AMAZON.Won't recommend anyone for this product and AMAZON.Extremely worst as I bought it to gift my spouce on account of our 1st Anniversary.Worst product and the dealer.
",Negative
"Boat 255 I love it.
","Great product at this range.I bought this product at 999 in sale.battery backup is so good it works about 8hr when full charged.best part is that wire is tangle which makes its different and best than others.i use jbl but sound is good as compared to jbl.
",Positive
"Not fully satisfied
","length of its both wires are frustrated as too lengthy and not comfortable at all, when you fix the buds in ears not hearing any outside sounds clearly...Also hurting eqrs. Other than aboveBattery capacity and Bluetooth range & built quality r good...
",Negative
"Value for money
","Got this for rs 999. Such a steal! Although battery life should’ve been designed for more than 6 hours, I got no other reason to complain. The red colour looks really good. Go for it.
",Negative
"Review
","Worst product i have ever seen, I paid 1500 bucks on this earphone which was not worth it...Please guyz do not waste your money in this boat bluetooth earphone. Infact you can find more good sound quality and comfortability in another brand in the same price.
",Neutral
"Durability 💩💩💩
","1 month - awesome2 month - left earphone stopped working3 month - right earphone stopped workingjust after that.. .refer the pics uploaded.Boat is known for it's durability. Because I have a wired boat earphone too.But this one was a worthless, hopless and junk product.But yes Bluetooth is still working absolutely fine (not the earphones).
",Neutral
"Gives you exactly what you've paid for.
","Sound quality is a strict meh; there's loads of bass but it's the boomy bad quality bass. There also seems to be some static from Bluetooth at times. But serves just about all of my purpose for 999rs. And yes, battery life is fantastic.
",Positive
"Sound quality
","The one Side of earphones doesn't work and it's very bad please help me out with replacement
",Neutral
"Serves the purpose
","Sound is amazing , build quality is good,But the range is pretty less. If you leave your phone in the other room, connectivity is gone .Otherwise all is good , Worth the money spent.
",Positive
"Don't expect Music quality
","This one is perfect for workouts... Bluetooth connectivity is super..... But....sound output is not at all good at this price range... I got this for ₹999. That's a pretty deal.. i feel mi basic wired earphones(399₹) gives much better output than any other mid range earphones..  and  main thing.. package was open when i received the item.
",Positive
"I need replacement. Customer Number Provided is Fake. FAKE REPLACEMENT WARRENTY. DONT BUY
","Its been 4 months. It worked fine, but now there is some problem on left side ear phone. Cant hear anything from there.Customer Number Provided is Also Fake. Trying to on that from 19th Apr till today cant reach anyone.Now how do i request for change of headphone??
",Negative
"Value for money deal for sporty earphones
","If you're looking for a sporty wireless earphones with mic, go for it. Highly durable,well suited for workout sessions due to it's moisture wicking feature. I'm in love with the lightweight and comfortablity. Battery life is good (over 6 hours). Sound quality is above average vis-a-vis other Bluetooth earphones in the given price range. Noise cancellation, there's room for improvement.
",Positive
"Worst battery life
","Awful product. Battery sucks big time. Worked only few days. Even charging for couple of hours. Battery stay for 5 min. Pathetic. Sound quality is good.
",Negative
"Good one. Check before buy
","Nice one at this price range (1499). Bluetooth range up to 15-18 steps, but it will disconnect if you go out off range and need to reconnect again, no auto connect. The control buttons in right side.
",Neutral
"Don't buy this product...
","After 45 days my Earphones are stopped working.. I tried to cliam my warranty but it boat team is not responding. I have registered my Earphones till now I have not received any confirmation email from them.. Worst experience from boat team.. Don't buy this product...
",Negative
